Fecha,Semana,Patron,Polar,Categoria_polar,Ecuatorial,Categoria_ecuatorial,Peso,Categoria_peso
6/01//2021,1,Lula,6.3,Bajo,5,Bajo,81.831,Bajo
6/01//2021,1,Lula,7,Bajo,5.4,Bajo,106.084,Bajo
6/01//2021,1,Lula,5.4,Bajo,3.8,Bajo,41.998,Bajo
6/01//2021,1,Lula,4.89,Bajo,4,Bajo,40.959,Bajo
6/01//2021,1,Lula,4.8,Bajo,3.9,Bajo,38.301,Bajo
6/01//2021,1,Lula,6.2,Bajo,4.89,Bajo,77.184,Bajo
6/01//2021,1,Lula,5.89,Bajo,4.4,Bajo,60.220,Bajo
6/01//2021,1,Lula,6.96,Bajo,5,Bajo,91.991,Bajo
6/01//2021,1,Lula,6.2,Bajo,5.12,Bajo,83.921,Bajo
6/01//2021,1,Lula,6.1,Bajo,5,Bajo,78.905,Bajo
6/01//2021,1,Lula,4.98,Bajo,4.2,Bajo,45.722,Bajo
6/01//2021,1,Lula,6.7,Bajo,5.2,Bajo,94.248,Bajo
6/01//2021,1,Lula,5.1,Bajo,4.6,Bajo,55.626,Bajo
6/01//2021,1,Lula,5.8,Bajo,4.9,Bajo,71.896,Bajo
6/01//2021,1,Lula,5,Bajo,4.3,Bajo,47.974,Bajo
6/01//2021,1,Lula,6.1,Bajo,4.93,Bajo,76.899,Bajo
6/01//2021,1,Lula,6.12,Bajo,4.96,Bajo,78.041,Bajo
6/01//2021,1,Lula,5,Bajo,4.2,Bajo,45.924,Bajo
6/01//2021,1,Lula,5.86,Bajo,4.8,Bajo,70.010,Bajo
6/01//2021,1,Lula,5.6,Bajo,4.5,Bajo,59.138,Bajo
6/01//2021,1,Lula,8.6,Medio,5.9,Medio,158.577,Medio
6/01//2021,1,Lula,8,Medio,5.3,Bajo,120.767,Bajo
6/01//2021,1,Lula,7.1,Bajo,5.2,Bajo,100.898,Bajo
6/01//2021,1,Lula,6.8,Bajo,5,Bajo,89.456,Bajo
6/01//2021,1,Lula,7,Bajo,5.1,Bajo,95.883,Bajo
6/01//2021,1,Lula,7.89,Medio,5.3,Bajo,118.673,Bajo
6/01//2021,1,Lula,6.4,Bajo,6,Medio,116.978,Bajo
6/01//2021,1,Lula,6.8,Bajo,6.5,Medio,145.215,Medio
6/01//2021,1,Lula,8,Medio,7.6,Alto,231.711,Alto
6/01//2021,1,Lula,6.6,Bajo,5,Bajo,86.352,Bajo
6/01//2021,1,Lula,7.1,Bajo,5.13,Bajo,98.537,Bajo
6/01//2021,1,Lula,6.1,Bajo,5.06,Bajo,80.652,Bajo
6/01//2021,1,Lula,6,Bajo,4.6,Bajo,66.595,Bajo
6/01//2021,1,Lula,5,Bajo,4.25,Bajo,46.942,Bajo
6/01//2021,1,Lula,5.12,Bajo,3.9,Bajo,41.240,Bajo
6/01//2021,1,Lula,5.6,Bajo,4.25,Bajo,53.364,Bajo
6/01//2021,1,Lula,5.8,Bajo,4.89,Bajo,71.625,Bajo
6/01//2021,1,Lula,6,Bajo,5.86,Medio,104.684,Bajo
