Empresa,Anio,Modulo,Semana,Flor_por_Abrir,Flor_Abierta,Flor_Cerrada,Fruto_Cuajado,Flor_Acumulada,Indice_cuajado
Arato I,2017,1,34,99,1,0,0,1,0
Arato I,2017,1,35,90,1,9,0,10,0
Arato I,2017,1,36,92,1,7,0,8,0
Arato I,2017,1,37,90,1,8,0,10,0
Arato I,2017,1,38,84,3,12,0,16,0
Arato I,2017,1,39,77,5,18,1,23,0.043478261
Arato I,2017,1,40,58,6,34,3,42,0.071428571
Arato I,2017,1,41,37,7,46,9,63,0.142857143
Arato I,2017,1,42,19,5,55,22,81,0.271604938
Arato I,2017,1,43,5,2,43,49,95,0.515789474
Arato I,2017,1,44,1,0,35,64,99,0.646464646
Arato I,2017,1,45,0,0,3,97,100,0.97
Arato I,2017,2,45,0,0,1,99,100,0.99
Arato I,2017,3,34,96,3,1,0,4,0
Arato I,2017,3,35,79,5,17,0,21,0
Arato I,2017,3,36,86,3,11,0,14,0
Arato I,2017,3,37,73,3,23,0,27,0
Arato I,2017,3,38,78,2,19,1,22,0.045454545
Arato I,2017,3,39,63,6,29,2,37,0.054054054
Arato I,2017,3,40,61,5,32,2,39,0.051282051
Arato I,2017,3,41,43,5,46,6,57,0.105263158
Arato I,2017,3,42,20,4,59,17,80,0.2125
Arato I,2017,3,43,6,2,53,39,94,0.414893617
Arato I,2017,3,44,1,0,36,62,99,0.626262626
Arato I,2017,3,45,0,0,4,96,100,0.96
Arato I,2017,4,34,97,0,3,0,3,0
Arato I,2017,4,35,94,2,4,0,6,0
Arato I,2017,4,36,90,4,6,0,10,0
Arato I,2017,4,37,86,3,10,0,14,0
Arato I,2017,4,38,77,3,20,0,23,0
Arato I,2017,4,39,76,4,19,1,24,0.041666667
Arato I,2017,4,40,60,6,32,2,40,0.05
Arato I,2017,4,41,44,4,45,6,56,0.107142857
Arato I,2017,4,42,25,7,52,16,75,0.213333333
Arato I,2017,4,43,11,3,48,38,89,0.426966292
Arato I,2017,4,44,1,0,22,77,99,0.777777778
Arato I,2017,4,45,0,0,4,96,100,0.96
Arato I,2017,5,34,98,2,0,0,2,0
Arato I,2017,5,35,92,3,5,0,8,0
Arato I,2017,5,36,91,2,7,0,9,0
Arato I,2017,5,37,84,3,14,0,16,0
Arato I,2017,5,38,73,5,21,0,27,0
Arato I,2017,5,39,54,5,37,4,46,0.086956522
